,id,userId,eventId,homeworkRequestId,classId,documentId,message,priority,creationDate,lastModificationDate,expirationDate,notificationType,sphere,title
781,5f7c7b739fe5530001fd1c58,5f7c7b729fe5530001fd1c55,,,,,Trouvez la classe de vos enfants,1,2020-10-06 16:13,2021-02-15 14:07,2020-10-06 04:19,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
782,5f7c3c9308a33300018ccbdd,5f7c3c9308a33300018ccbdb,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-06 11:44,2021-02-15 14:07,2020-10-06 11:59,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
783,5f7c85849fe5530001fd1c7e,5f7c85849fe5530001fd1c7c,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-06 16:56,2021-02-15 14:07,2020-10-06 04:57,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
784,5f7c85849fe5530001fd1c7d,5f7c85849fe5530001fd1c7c,,,,,Pour voir tous les events,1,2020-10-06 16:56,2021-02-15 14:07,2020-10-06 04:56,SETUP_CALENDAR,HOME,Synchronisez vos agendas
785,5f7c85849fe5530001fd1c7f,5f7c85849fe5530001fd1c7c,,,,,Trouvez la classe de vos enfants,1,2020-10-06 16:56,2021-02-15 14:07,2020-10-06 04:57,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
786,5f7c8bf39fe5530001fd1cb0,5f7c8bf39fe5530001fd1caf,,,,,Pour voir tous les events,1,2020-10-06 17:23,2021-02-15 14:07,2020-10-21 17:23,SETUP_CALENDAR,HOME,Synchronisez vos agendas
787,5f7c8bf39fe5530001fd1cb1,5f7c8bf39fe5530001fd1caf,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-06 17:23,2021-02-15 14:07,2020-10-21 17:23,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
788,5f7c8bf39fe5530001fd1cb2,5f7c8bf39fe5530001fd1caf,,,,,Trouvez la classe de vos enfants,1,2020-10-06 17:23,2021-02-15 14:07,2020-10-21 17:23,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
789,5f7c9ffe9fe5530001fd1cb4,5f7c9ffe9fe5530001fd1cb3,,,,,Pour voir tous les events,1,2020-10-06 18:49,2021-02-15 14:07,2020-10-21 18:49,SETUP_CALENDAR,HOME,Synchronisez vos agendas
790,5f7c9ffe9fe5530001fd1cb6,5f7c9ffe9fe5530001fd1cb3,,,,,Trouvez la classe de vos enfants,1,2020-10-06 18:49,2021-02-15 14:07,2020-10-21 18:49,SETUP_CLASS,SCHOOL,Trouvez la classe de vos enfants
791,5f7c9ffe9fe5530001fd1cb5,5f7c9ffe9fe5530001fd1cb3,,,,,Partagez les devoirs et l''agenda de la classe,2,2020-10-06 18:49,2021-02-15 14:07,2020-10-21 18:49,SETUP_SCHOOL,SCHOOL,Découvrez la sphère école
