,id,level,name,schoolYear,creationDate,nbChild,secteur_public_prive_libe,appellation_officielle,code_postal_uai,code_commune,libelle_commune,localite_acheminement_uai,libelle_departement,libelle_region,geometry_type,coordinatesLat,coordinatesLong,lastModificationDate,coordinates,nbArchivedChildren,cacheMap
159,5f7dcb259fe5530001fd2017,6ème,6eJ,2020-2021,2020-10-07 16:05,1.0,Public,Collège Jean Jacques Rousseau,60107,60175,Creil,CREIL CEDEX 1,Oise,Hauts-de-France,Point,49.25038472,2.48290129,2021-02-15 14:07,"49.25038471739708,2.4829012850174195",0.0,🔵 eyJpIjoiNDkuMjUwMzg0NzE3Mzk3MDgsMi40ODI5MDEyODUwMTc0MTk1IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDkuMjUwMzg1LCJsbmciOjIuNDgyOTAxLCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
160,5f6f6fcd046ca50001ad427a,6ème,6ème E,2020-2021,2020-09-26 18:43,1.0,Public,Collège Paul Bert,92240,92046,Malakoff,MALAKOFF,Hauts-de-Seine,Ile-de-France,Point,48.8163008,2.29377442,2021-02-15 14:07,"48.816300801001475,2.293774416341065",0.0,🔵 eyJpIjoiNDguODE2MzAwODAxMDAxNDc1LDIuMjkzNzc0NDE2MzQxMDY1IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDguODE2MzAxLCJsbmciOjIuMjkzNzc0LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
161,5f7dd2af08a33300018cd055,CM2,Cm2V,2020-2021,2020-10-07 16:37,1.0,Privé,Collège privé Jean-paul II,60200,60159,Compiègne,COMPIEGNE,Oise,Hauts-de-France,Point,49.40815108,2.84073263,2021-02-15 14:07,"49.40815108387843,2.840732634599547",0.0,🔵 eyJpIjoiNDkuNDA4MTUxMDgzODc4NDMsMi44NDA3MzI2MzQ1OTk1NDciLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0OS40MDgxNTEsImxuZyI6Mi44NDA3MzMsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaTg3MG45QkdJT1VWZDFDIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGJKbE1CSklkMWdCY2xxIn0sImUiOjB9
162,5f7d946608a33300018ccecd,CE2,Mme Bordelais CE2-CM1,2020-2021,2020-10-07 12:11,1.0,Public,Ecole primaire Lei Cigalos,83390,83100,Puget-Ville,PUGET VILLE,Var,Provence-Alpes-Côte d'Azur,Point,43.29047595,6.13714364,2021-02-15 14:07,"43.29047595336664,6.137143642463476",0.0,🔵 eyJpIjoiNDMuMjkwNDc1OTUzMzY2NjQsNi4xMzcxNDM2NDI0NjM0NzYiLCJvIjp7InN0YXR1cyI6Ik9LIiwibGF0Ijo0My4yOTA0NzYsImxuZyI6Ni4xMzcxNDQsImJsb2NrSW5zdGFsbGF0aW9uSWRzIjpbImJsaTg3MG45QkdJT1VWZDFDIl0sImxvY2F0aW9uRmllbGRJZCI6ImZsZGJKbE1CSklkMWdCY2xxIn0sImUiOjB9
163,5f7def419fe5530001fd2151,CE2,CE2 A,2020-2021,2020-10-07 18:39,3.0,Public,Ecole primaire Irène Joliot-Curie,94500,94017,Champigny-sur-Marne,CHAMPIGNY SUR MARNE,Val-de-Marne,Ile-de-France,Point,48.8225717,2.50735199,2021-02-15 14:07,"48.822571698485966,2.5073519945666627",0.0,🔵 eyJpIjoiNDguODIyNTcxNjk4NDg1OTY2LDIuNTA3MzUxOTk0NTY2NjYyNyIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ4LjgyMjU3MiwibG5nIjoyLjUwNzM1MiwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MH0=
164,5f7e261b9fe5530001fd221c,CP,Mr  Jimenez ,2020-2021,2020-10-07 22:33,0.0,Public,Ecole primaire Nicolas Le Brun,60530,60185,Crouy-en-Thelle,CROUY EN THELLE,Oise,Hauts-de-France,Point,49.21274823,2.32139752,2021-02-15 14:07,"49.212748231669096,2.3213975178647774",0.0,🔵 eyJpIjoiNDkuMjEyNzQ4MjMxNjY5MDk2LDIuMzIxMzk3NTE3ODY0Nzc3NCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ5LjIxMjc0OCwibG5nIjoyLjMyMTM5OCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MH0=
165,5f7e26c69fe5530001fd2238,CP,Mr Jimenez,2020-2021,2020-10-07 22:36,0.0,Public,Ecole primaire Nicolas Le Brun,60530,60185,Crouy-en-Thelle,CROUY EN THELLE,Oise,Hauts-de-France,Point,49.21274823,2.32139752,2021-02-15 14:07,"49.212748231669096,2.3213975178647774",0.0,🔵 eyJpIjoiNDkuMjEyNzQ4MjMxNjY5MDk2LDIuMzIxMzk3NTE3ODY0Nzc3NCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ5LjIxMjc0OCwibG5nIjoyLjMyMTM5OCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MH0=
166,5f7e25af08a33300018cd18a,CM2,Mme Enjolvy ,2020-2021,2020-10-07 22:31,2.0,Public,Ecole primaire Nicolas Le Brun,60530,60185,Crouy-en-Thelle,CROUY EN THELLE,Oise,Hauts-de-France,Point,49.21274823,2.32139752,2021-02-15 14:07,"49.212748231669096,2.3213975178647774",0.0,🔵 eyJpIjoiNDkuMjEyNzQ4MjMxNjY5MDk2LDIuMzIxMzk3NTE3ODY0Nzc3NCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ5LjIxMjc0OCwibG5nIjoyLjMyMTM5OCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MH0=
167,5f7e274908a33300018cd1cb,CP,a,2020-2021,2020-10-07 22:38,0.0,Public,Ecole primaire Nicolas Le Brun,60530,60185,Crouy-en-Thelle,CROUY EN THELLE,Oise,Hauts-de-France,Point,49.21274823,2.32139752,2021-02-15 14:07,"49.212748231669096,2.3213975178647774",0.0,🔵 eyJpIjoiNDkuMjEyNzQ4MjMxNjY5MDk2LDIuMzIxMzk3NTE3ODY0Nzc3NCIsIm8iOnsic3RhdHVzIjoiT0siLCJsYXQiOjQ5LjIxMjc0OCwibG5nIjoyLjMyMTM5OCwiYmxvY2tJbnN0YWxsYXRpb25JZHMiOlsiYmxpODcwbjlCR0lPVVZkMUMiXSwibG9jYXRpb25GaWVsZElkIjoiZmxkYkpsTUJKSWQxZ0JjbHEifSwiZSI6MH0=
168,5f7e9ca39fe5530001fd22e7,Grande section,classe 1,2020-2021,2020-10-08 06:59,0.0,Public,Ecole primaire Pasteur,94800,94076,Villejuif,VILLEJUIF,Val-de-Marne,Ile-de-France,Point,48.80512294,2.36542419,2021-02-15 14:07,"48.805122936942546,2.365424188326096",1.0,🔵 eyJpIjoiNDguODA1MTIyOTM2OTQyNTQ2LDIuMzY1NDI0MTg4MzI2MDk2IiwibyI6eyJzdGF0dXMiOiJPSyIsImxhdCI6NDguODA1MTIzLCJsbmciOjIuMzY1NDI0LCJibG9ja0luc3RhbGxhdGlvbklkcyI6WyJibGk4NzBuOUJHSU9VVmQxQyJdLCJsb2NhdGlvbkZpZWxkSWQiOiJmbGRiSmxNQkpJZDFnQmNscSJ9LCJlIjowfQ==
